source_file,source_url,target_url,anchor,score,cluster
content\blog\fr\workflow-ia-pme-suisse.md,https://iapmesuisse.ch/fr/blog/workflow-ia-pme-suisse,https://iapmesuisse.ch/fr/blog/audit-workflow-ia-pme-suisse,Audit workflow IA PME suisse : methode avant automatisation,81.29,4
content\blog\fr\financement-innovation-pme-suisse-2026.md,https://iapmesuisse.ch/fr/blog/financement-innovation-pme-suisse-2026,https://iapmesuisse.ch/fr/blog/aides-innovation-suisse-2026,Aides à l'innovation Suisse 2026 : guide complet pour PME et startups,72.17,3
content\blog\fr\ia-pour-pme-suisses-cas-usages-2026.md,https://iapmesuisse.ch/fr/blog/ia-pour-pme-suisses-cas-usages-2026,https://iapmesuisse.ch/fr/blog/automatisation-ia-b2b-suisse,"Automatisation IA B2B en Suisse : workflows, CRM et agents",71.95,4
content\blog\fr\ia-automatisation-suisse-pme.md,https://iapmesuisse.ch/fr/blog/ia-automatisation-suisse-pme,https://iapmesuisse.ch/fr/blog/audit-workflow-ia-pme-suisse,Audit workflow IA PME suisse : methode avant automatisation,71.79,4
content\blog\fr\ia-pour-pme-suisses-cas-usages-2026.md,https://iapmesuisse.ch/fr/blog/ia-pour-pme-suisses-cas-usages-2026,https://iapmesuisse.ch/fr/blog/agent-ia-service-client-pme-suisse,Agent IA service client : PME suisse et support multilingue,70.76,4
content\blog\fr\agent-ia-hubspot-pme-suisse.md,https://iapmesuisse.ch/fr/blog/agent-ia-hubspot-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-vente-prospection-suisse,Agent IA vente et prospection B2B en Suisse,67.12,4
content\blog\fr\ia-automatisation-suisse-pme.md,https://iapmesuisse.ch/fr/blog/ia-automatisation-suisse-pme,https://iapmesuisse.ch/fr/blog/automatisation-ia-b2b-suisse,"Automatisation IA B2B en Suisse : workflows, CRM et agents",66.59,4
content\blog\fr\subventions-pme-suisse-2026-04-14.md,https://iapmesuisse.ch/fr/blog/subventions-pme-suisse-2026-04-14,https://iapmesuisse.ch/fr/blog/subventions-pme-suisse-guide-2026,"Subventions PME Suisse 2026 : guide complet des aides fédérales, cantonales et européennes",65.37,3
content\blog\fr\optimisation-seo-suisse-francophone-ia.md,https://iapmesuisse.ch/fr/blog/optimisation-seo-suisse-francophone-ia,https://iapmesuisse.ch/fr/blog/maillage-interne-seo-ia-pme-suisse,Maillage interne SEO IA : architecture pour PME suisse,65.25,1
content\blog\fr\workflow-ia-pme-suisse.md,https://iapmesuisse.ch/fr/blog/workflow-ia-pme-suisse,https://iapmesuisse.ch/fr/blog/agent-ia-hubspot-pme-suisse,Agent IA HubSpot : automatiser vente et marketing en PME suisse,64.02,4
